epoch,train_loss,train_acc,val_loss,val_acc,seconds
1,1.2367803938248578,0.4411764705882353,1.5424963235855103,0.3,58.18408274650574
2,0.7896423956927131,0.6588235294117647,1.744020930926005,0.35,55.78585124015808
3,0.5599824933444753,0.7735294117647059,1.1864103635152181,0.55,55.09739589691162
4,0.42889121876043435,0.8235294117647058,0.6655778209368388,0.7666666666666667,54.979970932006836
5,0.3591986877076766,0.8676470588235294,0.4829403897126516,0.7833333333333333,54.57101392745972
6,0.23650969968122595,0.9147058823529411,0.45800300041834513,0.8333333333333334,79.90565800666809
7,0.23593677045667874,0.9117647058823529,0.466305414835612,0.8,59.40049195289612
8,0.14040622702416253,0.961764705882353,0.4724700599908829,0.8333333333333334,58.16567015647888
9,0.12121187255663031,0.9764705882352941,0.4217851529518763,0.85,56.283894062042236
10,0.11109676387380152,0.961764705882353,0.5745796799659729,0.8333333333333334,57.40625810623169
11,0.07188812003416174,0.9882352941176471,0.47223835984865825,0.8166666666666667,56.082133054733276
12,0.09048253911383011,0.9588235294117647,0.3649678568045298,0.8166666666666667,61.28477907180786
13,0.07064760125735227,0.9794117647058823,0.5043804387251536,0.7833333333333333,60.70832300186157
14,0.074275324186858,0.9823529411764705,0.46614780724048616,0.7833333333333333,57.76004099845886
15,0.06233919144553297,0.9852941176470589,0.5746143857638041,0.8166666666666667,59.00826597213745
